,Unnamed: 0,First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM Completed,University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research,GDP ($ per capita),Literacy (%),Pop. Density (per sq. mi.),Falsified Media Machine,Falsefiled Media Detected
138,138,Prabuddha Dey,"Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti",Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",10.1371/journal.pone.0094472,2014,04April,,,,1,"Duplicated cells within microscopy panels, multiple cases, duplicated blots",1,,1.0,,,1,Indian Institute of Technology Kharagpur,India,Plant Genetic Engineering,105,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",16.0,13.0,1.23,1265.0,7069.0,217.0,226-250,44.2,45.3,2900.0,59.5,333.2,0.62440723,True
139,139,R. van Gelderen,"R. van Gelderen, J. Carson, N. Gudkovs, and B. Nowak",Physical characterisation of Tenacibaculum maritimum for vaccine development,"3 Journal of Applied Microbiology 2010, 109:1668?1676",10.1111/j.1365-2672.2010.04795.x,2010,,,1.0,,,Multiple cases of duplicated blot strips,1,,,,1.0,1,University of Tasmania,Australia,Marine Conservation & Resource Sustainability,477,,"Ovid Technologies, Inc., Wiley",33.0,39.0,0.85,105.0,2.0,0.0,351-400,19.5,17.5,29000.0,100.0,2.6,0.8096128,True
140,140,Rajesh K. Grover,"Rajesh K. Grover, Julong Cheng, Yingjie Peng, Teresa M. Jones, Diana I. Ruiz, Richard J. Ulevitch, John I. Glass, Edward A. Dennis, Daniel R. Salomon, and Richard A. Lerner",The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys,"PNAS _ April 17, 2012 _ vol. 109 _ no. 16, 6036?6041",10.1073/pnas.1202214109,2012,,,1.0,,,,1,10/17/2016,,1.0,,1,The Scripps Research Institute,USA,Drug Discovery,495,PhD,"Europe PubMed Central, HighWire, PubMed Central, eScholarship, California Digital Library, University of California",38.0,16.0,2.38,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.847498,True
141,141,Robert P. Ryan,"Robert P. Ryan, Jean Lucey, Karen O?Donovan, Yvonne McCarthy, Liang Yang, Tim Tolker-Nielsen, and J. Maxwell Dow",HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,"3 Environmental Microbiology (2009) 11(5), 1126?1136",10.1111/j.1462-2920.2008.01842.x,2009,,,,1.0,,"Duplicated pic of agar plate, but different exposure.",1,2/23/2016,,1.0,,1,National University of Ireland,Ireland,Microbiology,978,,"Ovid Technologies, Inc., Wiley",90.0,13.0,6.92,23.0,2.0,0.0,,,,29600.0,98.0,57.8,0.8167208,True
142,142,Rounak Nassirpour,"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,2013,04April,1.0,,,1,Duplicated / mirrored bands in blot,1,4/10/2017,1.0,,,1,,USA,Oncology Research,264,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",15.0,19.0,0.79,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.7677959,True
143,143,S Kale,"S Kale, R Raja, D Thorat, G Soundararajan, TV Patil and GC Kundu",Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,"Oncogene (2014) 33, 2295?2306",10.1038/onc.2013.184,2013,,,,1.0,,"Overlapping microscopy images, multiple cases",1,10/16/2015,,1.0,,1,National Center for Cell Science,India,Tumor Biology,5976,,"Nature Publishing Group, Ovid Technologies, Inc.",5344.0,93.0,57.46,1265.0,7069.0,217.0,,,,2900.0,59.5,333.2,0.77993906,True
144,144,S. Jeyaseelan,"S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran",Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,"Infection, and Immunity, Jan. 2000, p. 72?79 Vol. 68, No. 1",10.1128/IAI.68.1.72-79.2000,2000,IAI,,,1.0,,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,University of Minnesota,USA,Veterinary PathoBiology,1875,"DVM, PhD","Atypon, Europe PubMed Central, PubMed Central",296.0,41.0,7.22,2992.0,96.0,50.0,47,66.1,74.0,37800.0,97.0,31.0,0.81939924,True
145,145,S. Jeyaseelan,"S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran","Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects","Infection, and Immunity, Oct. 2001, p. 6131?6139 Vol. 69, No. 10",10.1128/IAI.69.10.6131-6139.2001,2001,IAI,,,,1,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,University of Minnesota,USA,Veterinary PathoBiology,1875,"DVM, PhD","Atypon, Europe PubMed Central, PubMed Central",296.0,41.0,7.22,2992.0,96.0,50.0,47,66.1,74.0,37800.0,97.0,31.0,0.7841239999999999,True
146,146,Samithamby Jeyaseelan,"Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen",Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury,"Infection, and Immunity, Mar. 2005, p. 1754?1763 Vol. 73, No. 3",10.1128/IAI.73.3.1754-1763.2005,2005,IAI,,,1.0,,Overlapping microscopy panels,1,,,,1.0,1,University of Colorado Health Sciences,USA,Respiratory Infections,312,"DVM, PhD","Atypon, Europe PubMed Central, PubMed Central",66.0,19.0,3.47,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.80360156,True
147,147,Sandrine Koechler,"Sandrine Koechler, Jessica Cleiss-Arnold, Caroline Proux, Odile Sismeiro, Marie-Agne_s Dillies, Florence Goulhen-Chollet, Florence Hommais, Didier Li?vremont, Florence Ars?ne-Ploetze, Jean-Yves Copp?e, Philippe N Bertin Gi",Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,BMC Microbiology 2010,10.1186/1471-2180-10-53,2010,,,1.0,,,"Duplicated blot strips, multiple cases",1,3/28/2017,,1.0,,1,Johns Hopkins University,France,Microbiology,510,,"BioMed Central, Europe PubMed Central, PubMed Central",30.0,16.0,1.88,22.0,10.0,28.0,16,81.8,85.5,27600.0,99.0,111.3,0.8593133,True
148,148,Sarine Markossian,"Sarine Markossian, Sawsan Ibrahim Kreydiyyeh",TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2,Cytokine 30 (2005) 319-327,10.1016/j.cyto.2004.11.009,2005,,,,,1,"Duplicated bands within blot strips, multiple cases",1,,,,1.0,1,American University of Beirut,Lebanon,Biology,105,Ph.D.,"Elsevier Science, Ovid Technologies, Inc.",16.0,18.0,0.89,9.0,1.0,5.0,,,,4800.0,87.4,372.5,0.86218566,True
149,149,Sawsan I. Kreydiyyeh,"Sawsan I. Kreydiyyeh, Christina Abou-Chahine, Randa Hilal-Dandan ",Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes,5 Cytokine 26 (2004) 1-8,10.1016/j.cyto.2003.11.014,2004,,,1.0,,,Duplicated blot,1,,,,1.0,1,American University of Beirut,Lebanon,Biology,102,Ph.D.,"Elsevier Science, Ovid Technologies, Inc.",34.0,16.0,2.12,9.0,1.0,5.0,,,,4800.0,87.4,372.5,0.6495955,True
150,150,Sawsan Ibrahim Kreydiyyeh,"Sawsan Ibrahim Kreydiyyeh, Sarine Markossian ",Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Cytokine 33 (2006) 138e144,10.1016/j.cyto.2005.12.007,2006,,,1.0,,,Multiple cases of duplicated blots,1,,,,1.0,1,American University of Beirut,Lebanon,Biology,84,PhD,"Elsevier Science, Ovid Technologies, Inc.",29.0,15.0,1.93,9.0,1.0,5.0,,,,4800.0,87.4,372.5,0.81641144,True
151,151,Scarlett R Holdsworth,"Scarlett R Holdsworth, and Christopher J Law",Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,"BMC Microbiology 2013, 13:113",10.1186/1471-2180-13-113,2013,,,,1.0,,Overlapping images of colony panels,1,4/12/2017,,1.0,,1,University of Sheffield,UK,Biological Sciences,24,,"BioMed Central, Europe PubMed Central, PubMed Central",6.0,5.0,1.2,229.0,4.0,5.0,110,49.5,46.2,27700.0,99.0,247.6,0.7686405,True
152,152,Sen Rong Yan,"Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi",Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"Infect. Immun. Mar. 2004, p. 1223?1229 Vol. 72, No. 3",10.1128/IAI.72.3.1223-1229.2004,2004,IAI,,,1.0,,Mirrored blot,1,,,,1.0,1,,,Pediatrics,81,,"Atypon, Europe PubMed Central, PubMed Central",10.0,11.0,0.91,,,,,,,,,,0.7061202,True
153,153,Shidong Jia,"Shidong Jia, Zhenning Liu, Sen Zhang, Pixu Liu, Lei Zhang, Sang Hyun Lee, Jing Zhang, Sabina Signoretti, Massimo Loda, Thomas M. Roberts, & Jean J. Zhao","Essential roles of PI(3)K?p110b in cell growth, metabolism and tumorigenesis","Nature, Vol 454, 7 August 2008, page 776",10.1038/nature07091,2008,,,,1.0,,Overlapping microscopy images,1,5/12/2016,,1.0,,1,Dana-Farber Cancer Institute,USA,Medical Oncology,666,"MD, PhD","Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central",31.0,18.0,1.72,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.83126956,True
154,154,Shipan Dai,"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger",Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1371/journal.ppat.1003114,2013,01January,,,,1,"Duplicated or mirrored blot panels, or lanes within blots",1,3/9/2016,,1.0,,1,Ohio State University,USA,Microbial Interface Biology,153,,"Europe PubMed Central, PubMed Central, Public Library of Science",19.0,14.0,1.36,2992.0,96.0,50.0,53,66.7,60.9,37800.0,97.0,31.0,0.73333794,True
155,155,Shiuan Wang,"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,2014,04April,,1.0,,,duplicated microscopy panels,1,5/28/2015,,1.0,,1,Baylor College of Medicine,USA,Developmental Biology,111,BS,"Europe PubMed Central, PubMed Central, Public Library of Science",8.0,8.0,1.0,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.83158886,True
156,156,Shun-Dong Dai,"Shun-Dong Dai, Yan Wang, Gui-Yang Jiang, Peng-Xin Zhang, Xin-Jun Dong, Qiang Wei, Hong-Tao Xu, Qing-Chang Li, Chen Zhao, En-Hua Wang",Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Lung Cancer 67 (2010) 205?215,10.1016/j.lungcan.2009.06.013,2010,,,,,1,Duplicated parts of lanes to make 2 negative lanes,1,12/1/2016,1.0,,,1,First Affiliated Hospital and College of Basic Medical Sciences of China Medical University,China,Pathology,222,,"ClinicalKey, Elsevier Science",44.0,15.0,2.93,426.0,4945.0,318.0,,,,5000.0,90.9,136.9,0.8186856,True
157,157,Shuyu Ren,"Shuyu Ren, Bryce G. Johnson, Yujiro Kida, Colin Ip, Kathryn C. Davidson, Shuei-Liong Lin, Akio Kobayashi, Richard A. Lang, Anna-Katerina Hadjantonakis, Randall T. Moon, and Jeremy S. Duffield",LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,"PNAS | January22,2013 | vol.110 | no.4 | 1441",10.1073/pnas.1211179110,2013,,,,1.0,,,1,11/14/2016,,1.0,,1,University of Washington,USA,Molecular Pharmacology,498,PhD,"Europe PubMed Central, HighWire, PubMed Central",41.0,19.0,2.16,2992.0,96.0,50.0,24,74.7,81.3,37800.0,97.0,31.0,0.8356346,True
158,158,Silvana Lorena Della Penna,"Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Luci_a Rukavina Mikusic, Alicia Correa, Ver?nica Trida, Jorge Eduardo Toblli, Mar?a In?s Ros?n, and Belisario Enrique Fern?ndezlypep",Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,"BioMed Research International, Volume 2014, Article ID 936978",10.1155/2014/936978,2014,,,1.0,,,"Duplicated microscopy images, and other panels taken from previous paper",1,9/1/2014,,1.0,,1,University of Buenos Aires,Argentina,Pathophysiology,63,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",4.0,6.0,0.67,7.0,9.0,0.0,,,,11200.0,97.1,14.4,0.56966126,True
159,159,Sou-Ichi Makino,"Sou-Ichi Makino, Toru Tobe, Hiroshi Asakura, Masahisa Watarai, Testuya Ikeda, Koichi Takeshi, and Chihiro Sasakawa",Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,"J. Clin. Microbiol. 2003, 41(6):2341",10.1128/JCM.41.6.2341-2347.2003,2003,JCM,1.0,,,1,"repetitive bands, and background in gel panel",1,,,,1.0,1,Obihiro University of Agriculture and Veterinary Medicine,,Applied Veterinary Science Research Animal Hygiene and Food Safety,510,,"Atypon, Europe PubMed Central, PubMed Central",61.0,20.0,3.05,,,,,,,,,,0.7011534,True
160,160,Sreedevi Avasarala,"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0057285,2013,02February,,,1.0,,reuse of one lane in different blot experiment,1,8/4/2015,,1.0,,1,Stony Brook University,USA,Oral Biology and Pathology,255,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",18.0,14.0,1.29,2992.0,96.0,50.0,162,38.8,29.9,37800.0,97.0,31.0,0.8213968,True
161,161,Steffen Zender,"Steffen Zender, Irina Nickeleit, Torsten Wuestefeld, Inga So _rensen, Daniel Dauch, Przemyslaw Bozko, Mona El-Khatib, Robert Geffers, Hueseyin Bektas, Michael P. Manns, Achim Gossler, Ludwig Wilkens, Ruben Plentz, Lars Zender, and Nisar P. Malek",A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,"Cancer Cell 23, 784?795, June 10, 2013",10.1016/j.ccr.2013.04.019,2013,,,1.0,,,"Duplicated blots, multiple cases",1,8/8/2016,,1.0,,1,Hannover,Germany,"Gastroenterology, Hepatology and Endocrinology Clinic",243,PhD,Elsevier Science,15.0,19.0,0.79,3.0,1.0,10.0,,,,27600.0,99.0,230.9,0.7911329,True
162,162,Stephana Carelli,"Stephana Carelli, Giorgia Zadra, Valentina Vaira, Monica Falleni, Luca Bottiglieri, Mario Nosotti, Anna Maria Di Giulio, Alfredo Gorio, Silvano Bosari",Up-regulation of focal adhesion kinase in non-small cell lung cancer,"Lung Cancer (2006) 53, 263?271",10.1016/j.lungcan.2006.06.001,2006,,,,,1,Duplicated lanes with blot panel,1,,,,1.0,1,University of Milan,Italy,Medicine,759,PhD,Elsevier Science,68.0,17.0,4.0,55.0,59.0,11.0,251-275,36.3,24.2,26700.0,98.6,193.0,0.6824842,True
163,163,Stephanie Dahan,"Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka",Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,"Infection and Immunity 73: Feb. 2003, p. 766?773",10.1128/IAI.71.2.766-773.2003,2003,IAI,,,1.0,,multiple cases of duplicated bands within same blot,CHECK,,,,1.0,1,,,Gastroente?rologie et Nutrition,273,PhD,"Atypon, Europe PubMed Central, PubMed Central",22.0,16.0,1.38,,,,,,,,,,0.8604738000000001,True
164,164,Suharni Mohamad,"Suharni Mohamad, Norhaida Che Azmi, and Rahmah Noordin","Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)","J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1128/JCM.00001-09,2009,JCM,1.0,,,1,2 adjacent lanes in same panel look very similar when one is stretched (multiplecases),1,,,,1.0,1,Institute for Research in Molecular Medicine (INFORMM),Malaysia,Molecular Medicine,177,PhD,"Atypon, Europe PubMed Central, PubMed Central",16.0,16.0,1.0,171.0,99.0,7.0,,,,9000.0,88.7,74.0,0.633652,True
165,165,Sujit K. Bhutia,"Sujit K. Bhutia, Swadesh K. Das, Belal Azab, Mitchell E. Menezes, Paul Dent, Xiang-Yang Wang, Devanand Sarkar, and Paul B. Fisher",Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,"Int. J. Cancer: 133, 2726?2736 (2013)",10.1002/ijc.28289,2013,,,,1.0,,Overlapping microscopy images,1,4/15/2016,,1.0,,1,Virginia Commonwealth University,USA,Human and Molecular Genetics,13458,PhD,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",153.0,16.0,9.56,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.86607987,True
166,166,Suleyman Felek,"Suleyman Felek, and Eric S. Krukonis",The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__,"Infection, and Immunity, Feb. 2009, p. 825?836 Vol. 77, No. 2",10.1128/IAI.00913-08,2009,IAI,,,1.0,,Mirrored microscopy image,1,,,,1.0,1,University of Michigan,,Biologic and Materials Sciences,177,MD,"Atypon, Europe PubMed Central, PubMed Central",23.0,15.0,1.53,,,,20,76.1,91.4,,,,0.7191384,True
167,167,Surinder Safaya,"Surinder Safaya, Elizabeth S. Klings, Adam Odhiambo, Guihua Li, Harrison W. Farber, Martin H. Steinberg",Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells,Cytokine 46 (2009) 72?78,10.1016/j.cyto.2008.12.013,2009,,,,1.0,,Mirrored blot,1,,,,1.0,1,Center of Excellence in Sickle Cell Disease and Division of Hematology/Oncology,USA,Sickle cell Disease,165,M.B.A,"Elsevier Science, Europe PubMed Central, PubMed Central",8.0,16.0,0.5,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.69716316,True
168,168,Sylwia Flis,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,2014,03March,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,8/18/2014,,1.0,,1,National Medicines Institute,Poland,Pharmacology,252,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",17.0,12.0,1.42,2.0,0.0,0.0,,,,11100.0,99.8,123.3,0.8242963,True
169,169,T-I Hsu,"T-I Hsu, S-C Lin, P-S Lu, W-C Chang, C-Y Hung, Y-M Yeh, W-C Su, P-C Liao, and J-J Hung",MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,"Oncogene (2015) 34, 826?837",10.1038/onc.2014.22,2014,,,,1.0,,Overlapping microscopy images,1,2/9/2017,,1.0,,1, National Cheng-Kung University,Taiwan,Bioinformatics and biosignal transduction,267,,"Nature Publishing Group, Ovid Technologies, Inc.",13.0,40.0,0.32,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.7295715,True
170,170,TONI IBRAHIM,"TONI IBRAHIM, CHIARA LIVERANI, LAURA MERCATALI, EMANUELE SACANNA, MICHELE ZANONI, FRANCESCO FABBRI, WAINER ZOLI, and DINO AMADORI",Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1263-1270, 2013",10.3892/ijo.2013.1809,2013,,,1.0,,,Duplicated microscopy images,1,7/6/2016,,1.0,,1,IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.),Italy,Oncology,2823,PhD,"Ingenta plc, Spandidos Publications",163.0,20.0,8.15,55.0,59.0,11.0,,,,26700.0,98.6,193.0,0.8284679,True
171,171,Takaharu Nakayoshi,"Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi",FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",10.1371/journal.pone.0092626,2014,03March,,,1.0,,Mirrored microscopy image,1,4/27/2015,,1.0,,1,Kurume University,Japan,Cardio-Vascular Medicine,369,,"Europe PubMed Central, PubMed Central, Public Library of Science",32.0,17.0,1.88,82.0,223.0,10.0,,,,28200.0,99.0,337.4,0.72792494,True
172,172,Taku Inokuchi,"Taku Inokuchi, Tuneyoshi Ka, Asako Yamamoto, Yuji Moriwaki, Sumio Takahashi, Zenta Tsutsumi, Daisuke Tamada, Tetsuya Yamamoto",Effects of ethanol on monosodium urate crystal-induced inflammation,Cytokine 42 (2008) 198?204,10.1016/j.cyto.2008.01.001,2008,,,1.0,,,Duplicated blot,1,,,,1.0,1,Hyogo College of Medicine,Japan,Endocrinology and Metabolism,156,,Elsevier Science,21.0,14.0,1.5,82.0,223.0,10.0,,,,28200.0,99.0,337.4,0.623428,True
173,173,Teresa Lorenzi,"Teresa Lorenzi, Maria Lorenzi, Emma Altobelli, Daniela Marzioni, Emanuela Mensa__, Alexia Quaranta, Francesca Paolinelli, Manrico Morroni, Roberta Mazzucchelli, Antonio De Luca, Antonio Domenico Procopio, Alfonso Baldi, Giovanni Muzzonigro, Rodolfo Montironi, and Mario Castellucci",HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,"Int. J. Cancer: 133, 2650?2661 (2013)",10.1002/ijc.28280,2013,,,,,1,"Reused lanes, possibly duplicated lanes",1,8/7/2015,,1.0,,1,,Italy,Experimental and Clinical Medicine,348,PhD,"Ovid Technologies, Inc., Wiley",26.0,12.0,2.17,55.0,59.0,11.0,,,,26700.0,98.6,193.0,0.5952055,True
174,174,Timothy A. Chan,"Timothy A. Chan, Heiko Hermeking, Christoph Lengauer, Kenneth W. Kinzler, & Bert Vogelstein",14-3-3__ is required to prevent mitotic catastrophe after DNA damage,"Nature, Vol. 401, 7 October 1999, page 616",10.1038/44188,1999,,,,1.0,,"Rotated microscopy image, authors replied on PP",1,10/29/2015,,,1.0,1,Johns Hopkins University,USA,Oncology,6684,"MD, PhD","Nature Publishing Group, Ovid Technologies, Inc.",263.0,20.0,13.15,2992.0,96.0,50.0,16,81.8,85.5,37800.0,97.0,31.0,0.75465584,True
175,175,Trent Fowler,"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,2014,01January,,,1.0,,"duplicated, and stretched blot",1,4/22/2015,,1.0,,1,Tufts University,USA,Developmental,114,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",9.0,12.0,0.75,2992.0,96.0,50.0,87,52.6,36.4,37800.0,97.0,31.0,0.7188508000000001,True
176,176,Upal K. Basu Roy,"Upal K. Basu Roy, Rebecca S. Henkhaus, Fotios Loupakis, Chiara Cremolini, Eugene W. Gerner, and Natalia A. Ignatenko",Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,"Int. J. Cancer: 133, 43?58 (2013)",10.1002/ijc.28001,2013,,,,1.0,,"Reused blot, shifted, other protein",1,8/7/2015,,1.0,,1,University of Arizona,USA,Biochemistry and Molecular Biophysics,81,PhD,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",6.0,15.0,0.4,2992.0,96.0,50.0,98,47.0,53.7,37800.0,97.0,31.0,0.784328,True
177,177,Verity G. Kew,"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1371/journal.ppat.1004195,2014,06June,,,1.0,,Rotated western blot,1,9/5/2014,,1.0,,1,University of Cambridge,UK,Medicine,39,,"Europe PubMed Central, PubMed Central, Public Library of Science",4.0,6.0,0.67,229.0,4.0,5.0,7,91.2,95.6,27700.0,99.0,247.6,0.82308835,True
178,178,Vicente Ram¨ªrez,"Vicente Ram?rez,  Ana L?pez, Brigitte Mauch-Mani, Ma Jos? Gil, Pablo Vera_",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,2013,06June,,,1.0,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,11/2/2016,,1.0,,1,,Spain,Biolog¨ªa Molecular y Celular de Plantas,627,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science, RiuNet Universitat Politecnica de Valencia",,,,14.0,19.0,6.0,,,,22000.0,97.9,80.0,0.7595359,True
179,179,WEI YANG,"WEI YANG, XIAOYUAN WANG, WEI ZHENG, KEDONG LI, HAOFENG LIU, and YUEMING SUN",Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 690-698, 2013",10.3892/ijo.2012.1741,2012,,,1.0,,,"Duplicated blot panels, multiple cases",1,10/24/2016,,1.0,,1,The First Affiliated Hospital of Nanjing Medical University,China,,13347,,"Ingenta plc, Spandidos Publications",4269.0,24.0,177.88,426.0,4945.0,318.0,,,,5000.0,90.9,136.9,0.82507366,True
